,0
2015-10-31,8411315.876156902
2015-11-01,7542938.521456849
2015-11-02,6075526.174447893
2015-11-03,5906421.365583152
2015-11-04,5936602.570119552
2015-11-05,5811692.225314539
2015-11-06,6879739.378649663
2015-11-07,8569121.316555006
2015-11-08,7614613.124338523
2015-11-09,6752072.696345762
2015-11-10,6532610.844636347
2015-11-11,6335786.023943303
2015-11-12,6179978.559554473
2015-11-13,7079167.276883636
2015-11-14,8796984.103479126
2015-11-15,7796659.810488165
2015-11-16,6901864.477378675
2015-11-17,6553415.821835454
2015-11-18,6327644.709686676
2015-11-19,6141856.179322978
2015-11-20,7165449.481346926
2015-11-21,8763614.620076705
2015-11-22,7600606.359773048
2015-11-23,6586743.663969707
2015-11-24,6478578.508574686
2015-11-25,6190570.9493144285
2015-11-26,6022665.723064575
2015-11-27,7050060.63366506
2015-11-28,8499568.406654896
2015-11-29,7423651.878902478
2015-11-30,6382778.553401594
2015-12-01,6228488.404824093
2015-12-02,5784114.42688465
2015-12-03,5529655.08797195
2015-12-04,6629734.651565666
2015-12-05,8407294.017508587
2015-12-06,7587428.165114238
2015-12-07,6673332.485534099
